"Slot";"Zeile";"Spalte";"Funktion";"Bedienung";"Kontext";"Belegung";"Teststatus"
"10";"2";"3";"STARMAP";"ÖFFNEN";"FLIGHT / AVIONIK | MINING / ANFLUG & SUCHE | CARGO / ANFLUG & LIEFERUNG | SHIP UTILITY / AVIONIK";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"11";"2";"4";"SCAN MODE";"UMSCHALTEN";"FLIGHT / AVIONIK | MINING / LASERSTEUERUNG | SALVAGE / STRUKTURBERGUNG | SHIP UTILITY / AVIONIK";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"12";"2";"5";"PING";"SENDEN";"FLIGHT / AVIONIK | MINING / ANFLUG & SUCHE | SALVAGE / STRUKTURBERGUNG | SHIP UTILITY / AVIONIK";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"13";"2";"6";"QUANTUM TRAVEL";"ANFORDERN";"FLIGHT / AVIONIK | SHIP UTILITY / AVIONIK";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"14";"2";"7";"TÜREN";"UMSCHALTEN";"FLIGHT / SCHIFFSSYSTEME | CARGO / LADEN & ZUGANG | SHIP UTILITY / ZUGANG & KOMMUNIKATION";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"15";"2";"8";"VERRIEGELUNG";"UMSCHALTEN";"FLIGHT / SCHIFFSSYSTEME | CARGO / LADEN & ZUGANG | CARGO / HULL & SCHIFF | SHIP UTILITY / ZUGANG & KOMMUNIKATION";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"16";"3";"1";"TRIEBWERKE";"UMSCHALTEN";"FLIGHT / SCHIFFSSYSTEME | CARGO / HULL & SCHIFF | SHIP UTILITY / ANTRIEB & FAHRWERK";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"17";"3";"2";"NAV ANFORDERN";"ANFORDERN";"Kopfzeile: FLIGHT";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"20";"3";"5";"ZIEL IM FADENKREUZ";"ANFORDERN";"COMBAT / ZIELWAHL";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"21";"3";"6";"FEINDLICHES ZIEL";"ANFORDERN";"COMBAT / ZIELWAHL";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"22";"3";"7";"ANGREIFER";"ANFORDERN";"COMBAT / ZIELWAHL";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"23";"3";"8";"ZIEL LÖSEN";"ANFORDERN";"COMBAT / ZIELWAHL";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"24";"4";"1";"GUNS MODE";"ANFORDERN";"COMBAT / WAFFENMODI";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"25";"4";"2";"MISSILE MODE";"ANFORDERN";"COMBAT / WAFFENMODI";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"26";"4";"3";"GIMBAL MODE";"UMSCHALTEN";"COMBAT / WAFFENMODI";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"27";"4";"4";"PIP LEAD / LAG";"UMSCHALTEN";"COMBAT / WAFFENMODI";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"28";"4";"5";"DECOYS";"ANFORDERN";"COMBAT / ABWEHR & RAKETEN";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"29";"4";"6";"NOISE";"ANFORDERN";"COMBAT / ABWEHR & RAKETEN";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"30";"4";"7";"RAKETENTYP";"WECHSELN";"COMBAT / ABWEHR & RAKETEN";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"31";"4";"8";"SALVENGRÖSSE";"ERHÖHEN";"COMBAT / ABWEHR & RAKETEN";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"32";"5";"1";"MINING MODE";"ANFORDERN";"MINING / BERGBAU | MINING / MINING-MODULE";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"33";"5";"2";"MINING LASER";"UMSCHALTEN";"MINING / BERGBAU | MINING / LASERSTEUERUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"34";"5";"3";"FRACTURE / EXTRACT";"UMSCHALTEN";"MINING / BERGBAU";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"35";"5";"4";"LASERLEISTUNG +";"ERHÖHEN";"MINING / LASERSTEUERUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"36";"5";"5";"LASERLEISTUNG −";"VERRINGERN";"MINING / LASERSTEUERUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"37";"5";"6";"MODUL 1";"ANFORDERN";"MINING / MINING-MODULE";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"38";"5";"7";"MODUL 2";"ANFORDERN";"MINING / MINING-MODULE";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"39";"5";"8";"MODUL 3";"ANFORDERN";"MINING / MINING-MODULE";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"40";"6";"1";"SALVAGE MODE";"ANFORDERN";"SALVAGE / BERGUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"41";"6";"2";"SALVAGE BEAM";"UMSCHALTEN";"SALVAGE / BERGUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"42";"6";"3";"BERGUNGSWERKZEUG";"WECHSELN";"SALVAGE / BERGUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"43";"6";"4";"STRAHLABSTAND +";"ERHÖHEN";"SALVAGE / STRAHLSTEUERUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"44";"6";"5";"STRAHLABSTAND −";"VERRINGERN";"SALVAGE / STRAHLSTEUERUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"45";"6";"6";"LINKES WERKZEUG";"WECHSELN";"SALVAGE / STRAHLSTEUERUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"46";"6";"7";"RECHTES WERKZEUG";"WECHSELN";"SALVAGE / STRAHLSTEUERUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"47";"6";"8";"FRACTURE";"ANFORDERN";"SALVAGE / STRUKTURBERGUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"48";"7";"1";"DISINTEGRATE";"ANFORDERN";"SALVAGE / STRUKTURBERGUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"49";"7";"2";"TRAKTORANSICHT";"ÖFFNEN";"CARGO / LADEN & ZUGANG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"50";"7";"3";"FRACHT GREIFEN";"UMSCHALTEN";"CARGO / LADEN & ZUGANG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"51";"7";"4";"FRACHT NÄHER";"VERRINGERN";"CARGO / TRAKTORSTEUERUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"52";"7";"5";"FRACHT WEITER";"ERHÖHEN";"CARGO / TRAKTORSTEUERUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"53";"7";"6";"NACH LINKS DREHEN";"DREHEN";"CARGO / TRAKTORSTEUERUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"54";"7";"7";"NACH RECHTS DREHEN";"DREHEN";"CARGO / TRAKTORSTEUERUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"55";"7";"8";"FRACHTSPINDEL";"UMSCHALTEN";"CARGO / HULL & SCHIFF";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
